Category,Item Name,Item Code,Size,Finish,PCS / Set,SPU,MRP (?),New Product
General Hardware,Ventilation Grill - BL/GR/,VG34168,168 mm | 34 x 168,,Each,10,52,
General Hardware,Push open fitting-,POM12,12 mm | 67 mm,GR,,50,65,
General Hardware,Push open fitting-,POM40,40 mm | 127 mm,GR/BL,,50,65,
General Hardware,Push open fitting-,POM40-HD,85 mm | 40 mm,GR,,85,65,
General Hardware,(Stroke 38mm) Length - 70mm,AGSS1,12 mm | 6 x 12,,Each,20,148,
General Hardware,Support (6-12mm),AGSS2,12 mm | 6 x 12,,Each,20,222,
General Hardware,Shelf Bracket Lite,SBLP-7,177 mm | 177 x 177,WH,Each,177,110,
General Hardware,(Polymer) - 7,UTSB20-15,150 mm | 200 x 150,BR,Each,150,200,
General Hardware,Utility Shelf Bracket,UTSB30-25,250 mm | 300 x 250,BR,Each,250,323,
General Hardware,Utility Shelf Bracket,WSR-100,100 mm | 150 mm,,Each,50,74,
General Hardware,Wall Shelf Rod,WSR-150,100 mm | 150 mm,,Each,50,93,
General Hardware,Wall Shelf Rod,WSRA-150,150 mm,,Each,20,109,
General Hardware,Wall Shelf Rod -,WSRA-200,150 mm | 200 mm,,Each,20,128,
General Hardware,Adjustable,WSRA-250,200 mm | 250 mm,,Each,15,143,
General Hardware,Adjustable,WSRD-10100,250 mm | 10x100 | 10x145,BR,Each,,83,
General Hardware,Wall Shelf Rod-HD WSRD-10145 Ø 10x145 BR Each 90,WSRD-14140,10x145 | 14x140,BR,Each,,129,
General Hardware,L Shape Hanging Cabinet,LSHCS1,300 x 120,BL,,120,998,
General Hardware,Heavy Duty Cabinet,HDCS1,285 x 100 x 60,BL,,60,"1,278",
General Hardware,Cabinet Hanger -,CHC1,21 mm | 141 x 21,,Set of 2 Pcs,25,374,
General Hardware,(with screws),MC-US1,4 mm | 11 x 35 x 4,,Set of 2 pcs,100,33,
General Hardware,(with screws),MC-US1L,4 mm | 11 x 35 x 4,,Set of 2 pcs,100,37,
General Hardware,Slim with Screws,MC-US2,4 mm | 11 x 35 x 4 | 14 x 40 x 4,,Set of 2 pcs,100,46,
General Hardware,Slim with Screws,MC-US2L,4 mm | 14 x 40 x 4,,Set of 2 pcs,100,51,
General Hardware,Slim with Screws,MC-I1,32 mm | 14 x 40 x 32,,Set of 2 pcs,100,50,
General Hardware,screws),MC-I1L,32 mm | 14 x 40 x 32,,Set of 2 pcs,100,58,
General Hardware,Cabinet Stay - Heavy 1 stay: 6 kgs,CS1-HR,,,Each,10,762,
General Hardware,Cabinet Stay - Heavy 1 stay: 6 kgs,CS1-HL,,,Each,10,762,
General Hardware,Lid Stay LS1 - SS 304 Set of 2 pcs 50 341,FPS1,180 mm,BR,Set of 2 Pcs,25,303,
General Hardware,Flap Stay FPS2 Large (230mm) BR Set of 2 Pcs 25 352,FPS3,230 mm | 280 mm,BR,Set of 2 Pcs,25,390,
General Hardware,Flap Stay FPS2 Large (230mm) BR Set of 2 Pcs 25 352,TB30,280 mm | 300 mm | 400 mm,BR/WM,Set of 2 Pcs,1,854,
